"","package","n"
"1","magrittr",443311
"2","aws.s3",388951
"3","aws.ec2metadata",385897
"4","rsconnect",375728
"5","rlang",145563
"6","dplyr",121910
"7","vctrs",117261
"8","Rcpp",110410
"9","ggplot2",106543
"10","ellipsis",105333
"11","tibble",96464
"12","plyr",96155
"13","purrr",94812
"14","pillar",93627
"15","lifecycle",91077
"16","tidyr",89267
"17","digest",86709
"18","BH",85358
"19","markdown",81655
"20","zeallot",80144
"21","backports",77904
"22","cli",77893
"23","glue",75582
"24","stringr",74292
"25","knitr",74263
"26","hms",73996
"27","scales",72681
"28","curl",70810
"29","htmltools",70255
"30","httr",70095
"31","fansi",69794
"32","farver",69705
"33","stringi",69163
"34","rmarkdown",66925
"35","R6",65790
"36","evaluate",65031
"37","utf8",64588
"38","xfun",63846
"39","reshape2",63724
"40","data.table",63458
"41","jsonlite",63319
"42","lubridate",61602
"43","tinytex",60671
"44","pkgconfig",60332
"45","callr",59518
"46","haven",59205
"47","broom",58608
"48","tidyselect",58283
"49","xml2",58280
"50","lazyeval",58012
"51","zoo",57760
"52","mime",57532
"53","highr",57225
"54","colorspace",57222
"55","assertthat",56283
"56","munsell",55651
"57","crayon",53793
"58","shiny",53491
"59","tidyverse",52853
"60","yaml",52144
"61","later",51642
"62","promises",51288
"63","httpuv",50877
"64","testthat",49995
"65","processx",49698
"66","DBI",49299
"67","RColorBrewer",48532
"68","openssl",48225
"69","fastmap",47866
"70","withr",46688
"71","rvest",46464
"72","gtable",45834
"73","viridisLite",44928
"74","ps",44822
"75","readxl",43741
"76","prettyunits",43136
"77","labeling",42902
"78","sys",42865
"79","readr",42165
"80","sourcetools",41968
"81","selectr",40766
"82","plogr",40663
"83","dbplyr",40484
"84","xtable",40480
"85","rstudioapi",39673
"86","askpass",39626
"87","pkgbuild",39408
"88","remotes",39214
"89","base64enc",38256
"90","clipr",37907
"91","modelr",37205
"92","devtools",36239
"93","rprojroot",36137
"94","htmlwidgets",36097
"95","reprex",35449
"96","progress",35313
"97","covr",34760
"98","pkgload",34604
"99","desc",34541
"100","RcppArmadillo",34513
